,index,abv,ibu,id,name,style,brewery_id,ounces,beer_group,group_name,group_abbrev,super_class_id,class_name,Predicted_Class
14,14,0.061,60.0,1979,Bitter Bitch,American Pale Ale (APA),177,12.0,5.0,Pale Ale,PA,1.0,Ale,IPA
21,21,0.099,92.0,1036,Lower De Boom,American Barleywine,368,8.4,5.0,Pale Ale,PA,1.0,Ale,SP
22,22,0.079,45.0,1024,Fireside Chat,Winter Warmer,368,12.0,5.0,Pale Ale,PA,1.0,Ale,SP
24,24,0.044000000000000004,42.0,876,Bitter American,American Pale Ale (APA),368,12.0,5.0,Pale Ale,PA,1.0,Ale,Ale
25,25,0.049,17.0,802,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,368,12.0,1.0,Other Ale,OA,1.0,Ale,Lager
26,26,0.049,17.0,801,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,368,12.0,1.0,Other Ale,OA,1.0,Ale,Lager
27,27,0.049,17.0,800,21st Amendment Watermelon Wheat Beer (2006),Fruit / Vegetable Beer,368,12.0,1.0,Other Ale,OA,1.0,Ale,Lager
28,28,0.07,70.0,799,21st Amendment IPA (2006),American IPA,368,12.0,3.0,India Pale Ale,IPA,5.0,IPA,IPA
29,29,0.07,70.0,797,Brew Free! or Die IPA (2008),American IPA,368,12.0,3.0,India Pale Ale,IPA,5.0,IPA,IPA
30,30,0.07,70.0,796,Brew Free! or Die IPA (2009),American IPA,368,12.0,3.0,India Pale Ale,IPA,5.0,IPA,IPA
31,31,0.085,52.0,531,Special Edition: Allies Win The War!,English Strong Ale,368,12.0,5.0,Pale Ale,PA,1.0,Ale,SP
32,32,0.09699999999999999,94.0,432,Hop Crisis,American Double / Imperial IPA,368,12.0,3.0,India Pale Ale,IPA,5.0,IPA,SP
33,33,0.044000000000000004,42.0,353,Bitter American (2011),American Pale Ale (APA),368,12.0,5.0,Pale Ale,PA,1.0,Ale,Ale
34,34,0.079,45.0,321,Fireside Chat (2010),Winter Warmer,368,12.0,5.0,Pale Ale,PA,1.0,Ale,SP
35,35,0.068,65.0,173,Back in Black,American Black Ale,368,12.0,1.0,Other Ale,OA,1.0,Ale,IPA
36,36,0.083,35.0,11,Monk's Blood,Belgian Dark Ale,368,12.0,7.0,Belgian/French Ale,BA,1.0,Ale,SP
37,37,0.07,65.0,10,Brew Free! or Die IPA,American IPA,368,12.0,3.0,India Pale Ale,IPA,5.0,IPA,IPA
38,38,0.049,17.0,9,Hell or High Watermelon Wheat,Fruit / Vegetable Beer,368,12.0,1.0,Other Ale,OA,1.0,Ale,Lager
39,39,0.07,82.0,2519,Bimini Twist,American IPA,67,12.0,3.0,India Pale Ale,IPA,5.0,IPA,IPA
42,42,0.035,11.0,2545,Passion Fruit Prussia,Berliner Weissbier,60,12.0,8.0,German Ale,GA,1.0,Ale,Lager
43,43,0.045,18.0,2544,Send Help,American Blonde Ale,60,12.0,1.0,Other Ale,OA,1.0,Ale,Lager
49,49,0.05,28.0,1870,Contact High,American Pale Wheat Ale,60,12.0,5.0,Pale Ale,PA,1.0,Ale,Lager
51,51,0.05,45.0,2602,Citrafest,American IPA,27,16.0,3.0,India Pale Ale,IPA,5.0,IPA,Ale
53,53,0.069,65.0,2219,Scarecrow,American IPA,27,16.0,3.0,India Pale Ale,IPA,5.0,IPA,IPA
54,54,0.09,50.0,2218,Ironman,English Strong Ale,27,16.0,5.0,Pale Ale,PA,1.0,Ale,SP
55,55,0.046,15.0,2217,Honey Kolsch,Kölsch,27,16.0,9.0,German Lager,GL,2.0,Lager,Lager
56,56,0.052000000000000005,18.0,2216,Copperhead Amber,Belgian Dark Ale,27,16.0,7.0,Belgian/French Ale,BA,1.0,Ale,Lager
57,57,0.059000000000000004,75.0,972,Rude Parrot IPA,American IPA,481,16.0,3.0,India Pale Ale,IPA,5.0,IPA,IPA
58,58,0.054000000000000006,30.0,866,British Pale Ale (2010),English Pale Ale,481,16.0,5.0,Pale Ale,PA,1.0,Ale,Lager
59,59,0.054000000000000006,30.0,48,British Pale Ale,English Pale Ale,481,16.0,5.0,Pale Ale,PA,1.0,Ale,Lager
60,60,0.084,82.0,47,Ballz Deep Double IPA,American Double / Imperial IPA,481,16.0,3.0,India Pale Ale,IPA,5.0,IPA,IPA
62,62,0.055,26.0,1165,Colorado Native,American Amber / Red Lager,462,12.0,2.0,American Lager,AL,2.0,Lager,Lager
63,63,0.055,26.0,431,Colorado Native (2011),American Amber / Red Lager,462,12.0,2.0,American Lager,AL,2.0,Lager,Lager
64,64,0.065,52.0,516,Jockamo IPA,American IPA,533,12.0,3.0,India Pale Ale,IPA,5.0,IPA,SP
65,65,0.042,13.0,515,Purple Haze,Fruit / Vegetable Beer,533,12.0,1.0,Other Ale,OA,1.0,Ale,Lager
66,66,0.045,17.0,514,Abita Amber,American Amber / Red Lager,533,12.0,2.0,American Lager,AL,2.0,Lager,Lager
67,67,0.08199999999999999,68.0,2540,Citra Ass Down,American IPA,62,16.0,3.0,India Pale Ale,IPA,5.0,IPA,IPA
68,68,0.05,20.0,2539,The Brown Note,American Brown Ale,62,16.0,1.0,Other Ale,OA,1.0,Ale,Lager
69,69,0.08,68.0,2686,Citra Ass Down,American Double / Imperial IPA,1,16.0,3.0,India Pale Ale,IPA,5.0,IPA,IPA
70,70,0.125,80.0,2685,London Balling,English Barleywine,1,16.0,5.0,Pale Ale,PA,1.0,Ale,SP
71,71,0.077,25.0,2684,35 K,Milk / Sweet Stout,1,16.0,4.0,Stout/Porter,SP,3.0,SP,SP
72,72,0.042,42.0,2683,A Beer,American Pale Ale (APA),1,16.0,5.0,Pale Ale,PA,1.0,Ale,Ale
73,73,0.05,25.0,2682,Rules are Rules,German Pilsener,1,16.0,11.0,Pilsner,PL,2.0,Lager,Lager
74,74,0.066,21.0,2681,Flesh Gourd'n,Pumpkin Ale,1,16.0,1.0,Other Ale,OA,1.0,Ale,SP
75,75,0.04,13.0,2680,Sho'nuff,Belgian Pale Ale,1,16.0,5.0,Pale Ale,PA,1.0,Ale,Lager
76,76,0.055,17.0,2679,Bloody Show,American Pilsner,1,16.0,11.0,Pilsner,PL,2.0,Lager,Lager
77,77,0.076,68.0,2678,Rico Sauvin,American Double / Imperial IPA,1,16.0,3.0,India Pale Ale,IPA,5.0,IPA,IPA
78,78,0.051,38.0,2677,Coq de la Marche,Saison / Farmhouse Ale,1,16.0,7.0,Belgian/French Ale,BA,1.0,Ale,Lager
80,80,0.06,65.0,2675,Pile of Face,American IPA,1,16.0,3.0,India Pale Ale,IPA,5.0,IPA,IPA
81,81,0.05,20.0,2674,The Brown Note,English Brown Ale,1,16.0,1.0,Other Ale,OA,1.0,Ale,Lager
82,82,0.053,35.0,1594,Maylani's Coconut Stout,American Stout,367,16.0,4.0,Stout/Porter,SP,3.0,SP,Lager
